tweet,reply1,reply2,reply3,reply4,reply5,reply6,reply7,reply8,reply9,reply10,reply11,reply12,reply13,reply14,reply15,reply16,reply17,reply18,reply19,reply20,reply21,reply22,reply23,reply24,reply25,reply26,reply27,reply28,reply29,reply30,reply31,reply32,reply33,reply34,reply35,reply36,reply37,reply38,reply39,reply40,reply41,reply42,reply43,reply44,reply45,reply46,reply47,reply48,reply49,reply50,reply51,reply52,reply53,reply54,reply55,reply56,reply57
"Насчитали 13 идей, как провести первый весенний уикенд. 

Что выберете?

 ", Ein Frühling mit Glasnost und Perestroika.," выберем таблетки, чай и сериальчики)",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
ЕЭК предложила Беларуси избавиться от обязательного перечня белорусских товаров в магазинах.… , И как это понимать?,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Врач рассказывает, почему бывают прыщи на спине и как от них избавиться.

 ", И как это понимать?,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Если не читали вчера.

Полиция начала проверку после попытки жены Мамаева покончить с собой.… ", Вообще пох..," Прочем «жены Макея»...Жаль жену Мамаева (кто это вообще?), но не жаль было бы жену Макея."," Там у игрока чемпионата Греции кошка родила, , я думаю тоже есть смысл поведать об этом всей Беларуси", И что они делают в Беларуси?," А тебя просто в дурку на месяц закроют и отберут права года на три, а эта тюнингованная пизда, через пару дн… ", А кто такой Мамаев?!," Нашла повод, ради чего?",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Сколько нужно зарабатывать, чтобы взять 20 тысяч рублей в кредит?

Посмотрели.

 ", Вообще пох..," Прочем «жены Макея»...Жаль жену Мамаева (кто это вообще?), но не жаль было бы жену Макея."," Там у игрока чемпионата Греции кошка родила, , я думаю тоже есть смысл поведать об этом всей Беларуси", И что они делают в Беларуси?," А тебя просто в дурку на месяц закроют и отберут права года на три, а эта тюнингованная пизда, через пару дн… ", А кто такой Мамаев?!," Нашла повод, ради чего?",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Если не найдется 500 млн долларов, то новополоцкий завод «Полимир» придется закрыть.

 ", Закрыть так закрыть. Ну а хули нам модернизаторам.," Найдётся, это когда они есть, но за подкладку завалились. Но денег нет, и искать нечего, попробуйте заработа… ", «Найдётся» - это как у Тихановского за диваном?,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Посмотрели, как в Купаловском прошел первый спектакль после президентских выборов.

«Осторожно, тут могут быть бэче… "," цікавыя сьветлыя тутавыя тэатралы, аж нават не саромяцца прызнацца, як падглядаюць з-за сьпіны ў тэлефон нез… "," Как рвёт на куски хозяйку TUTBY Чернявскую, жирную, старую, косую бабу которая считает себя культурологом, о… ", Ну это вряд ли, видимо бухлишко ябатьки хотели достать))),NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"История мотоциклистки, которая в 25 лет стала жертвой страшной аварии и парализована 2 года.

«Парень выдержал полг… "," Я так понял это не она сделала несколько странный выбор, это парень во всём виноват?", Лежу с ней сейчас в больнице. Реально не просто ей," Заметили каждый день заголовок на TUTBY
""мужыки козлы""

Это не просто так. Феминистический грант отрабатывают"," Бедная девушка ((
Пусть держится, при новой власти есть высокая вероятность что по-новому рассмотрят ее дело… "," Почитала статью, хотя по названию конечно просится - ага, мотоциклистка, итог, какая разница, что не она вин… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Замглавы МВД Геннадий Казакевич озвучил социальный портрет «преступника», «связанного с протестной активностью».

В… ", «Это неработающий мужчина в возрасте от 18 до 35 лет. Либо работающий на какой-то низкооплачиваемой должност… ," Мне больше всего понравилось про ""выборы"")))", А вот что мне напоминает социальный портрет нашей милиции ? ," Чуть по культурнее повторил слова лукашенки, все алкоголики, наркоманы, тунеядцы и тд. Негодяй высшей степен… ", От возраста не зависит ," Эдак ""статистика"" скоро снизойдёт до общепринятых клише - безработный бомжующий пьющий наркоман проститут ай… "," Грусть, я попадаю под этот ""портрет"", хотя 90% времени работаю дома и никуда не хожу дальше гаража."," Отрицательная селекция в действии, нормальные люди на службе в милиции не задерживаться, прошли времена дяде… ", +5 к уважению пенсионерам за активность :)," Казакевич, смотри, я портрет мента опишу - тупой баран, без образования и будущих перспектив, если бы не сво… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Колонна людей с БЧБ-флагами прошлась в минском микрорайоне Юго-Запад, скандируя «Жыве Беларусь». "," меняет ситуацию в стране конечно, да)", Походу Тутбай окончательно превратился в помойку с непонятно какими ценностями. Чем хуже для страны тем лучш… , Где колонна редакции? , 97й 🤣," Прыгожа!! Я гарантую, што маршы (вялікія і малыя) не знікнуць навт тады, калі мы вернем Беларусь з лапаў фаш… "," А вы говорите, нет вмешательства Запада"," 🗣️ 🎶🎶🎶🎶

💐💐💐💐💐

❤️❤️📢❤️❤️

⬜️⬜️⬜️⬜️⬜️
🟥🟥🟥🟥🟥🩸 😓 😢
⬜️⬜️⬜️⬜️⬜️

❤️❤️🥊❤️❤️

💐💐💐💐💐", здароўя ім усім, Жыве вечна!!!," не густо за 30 млн евро, опять все деньги скапитализдили?",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Расскажите, что вас волнует.

вопросдня ", Молодцы тутбай. Поднимаете острые и глубинные вопросы) ЖЫВЕ БЕЛАРУСЬ!!!, Вера в невидимую руку рынка и ожидание доброго царя. КапитализмУбивает, Што 25 сакавіка не вярнуся да дому," Что 25-того снова случится насилие на улицах со стороны фашистов, а большая часть населения так и не раскрое… ", Что моего брата выгонят отсюда.," Боюсь за белорусский народ, который допускает такой произвол правоохранителей", Што сіпаты ўблюдак не атрымае пажыццёвае..., НАТО, Безразличия и трусости большинства.," Што фашысты захапіўшыя краіну, пачнуць зноў свае карацельныя аперацыі, а беларусы зноў выйдуць з кветкамі", Что все зря., кацапы нападут на Украину с вашей территории, Людей.," что меня возьмут в плен вражеские оккупанты, захватившие мою страну"," Если выкинуть из вопроса слово ""больше"", то он станет интереснее.", Мэмы," Меня волнует, как заработать многаденег, когда ты уже старенький.", Что усы навсегда.," Что посадят раньше, чем успею пройти масс эффект 3", не проснуться),NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Человечество выбрасывает почти миллиард тонн еды в год.

Если ее поместить в 40-тонные грузовики, припаркованные вс… ", Молодцы тутбай. Поднимаете острые и глубинные вопросы) ЖЫВЕ БЕЛАРУСЬ!!!, Вера в невидимую руку рынка и ожидание доброго царя. КапитализмУбивает, Што 25 сакавіка не вярнуся да дому," Что 25-того снова случится насилие на улицах со стороны фашистов, а большая часть населения так и не раскрое… ", Что моего брата выгонят отсюда.," Боюсь за белорусский народ, который допускает такой произвол правоохранителей", Што сіпаты ўблюдак не атрымае пажыццёвае..., НАТО, Безразличия и трусости большинства.," Што фашысты захапіўшыя краіну, пачнуць зноў свае карацельныя аперацыі, а беларусы зноў выйдуць з кветкамі", Что все зря., кацапы нападут на Украину с вашей территории, Людей.," что меня возьмут в плен вражеские оккупанты, захватившие мою страну"," Если выкинуть из вопроса слово ""больше"", то он станет интереснее.", Мэмы," Меня волнует, как заработать многаденег, когда ты уже старенький.", Что усы навсегда.," Что посадят раньше, чем успею пройти масс эффект 3", не проснуться),NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Вечерние акции солидарности в Дзержинске, Минске, Пружанах и Москве. "," 💐💐💐💐💐

❤️❤️📢❤️❤️

⬜️⬜️⬜️⬜️⬜️
🟥🟥🟥🟥🟥🩸 😓 😢
⬜️⬜️⬜️⬜️⬜️

❤️❤️🥊❤️❤️

💐💐💐💐💐"," Шо там, боты опять взорвались?", кучки долбодятлов, Выслать из России....,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"10 стран, которые владеют самым разрушительным оружием в мире.

Что о них известно?

 "," Известно, что все они сговорились против Беларуси",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"39 человек стали фигурантами дела о страховом мошенничестве.

«Покупали авто до 600 долларов для подставных ДТП».… "," Это они так боролись с рЭжымом, правильно я понимаю?😁",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Красивая Беларусь в рассветном и закатном солнце �

Фото: aaaminsk, Instagram "," Это они так боролись с рЭжымом, правильно я понимаю?😁",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Врач рассказывает, почему бывают прыщи на спине и как от них избавиться.

 ", сексом занимайтесь и прыщей не будет, Постіль треба прати. І спідній одяг час від часу.," Жопой об косяк. Курс ретиноидов и все равно через 5 лет вернулись, слава богу только частично."," Да хуй ты от них избавишься, забей.",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Итоги ажиотажа: за два месяца техосмотр прошло столько машин, сколько раньше за полгода.

 ", Вы знаете как техосмотр проходят в загранице? Ни как они вообще его не проходят нах он не упал им.   Это бай… ," А в сколеновстане по херу на обещанные ужесточения. Тут все понимают, что коррупционное дно неискоренимо. Та… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Белорусов атаковали банковские мошенники.

Рассказываем, откуда у них данные, почему их сложно найти и как защитить… "," лютая брехня. все атакі мошенніков началісь ровно в тот момент, когда лукашенка сліл базы персональных данны… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Сегодня ровно 125 лет со дня рождения баснописца, драматурга и поэта Кондрата Крапивы. Вспоминаем факты о нем.

Пер… ", Чо та они знают? Не первый высер подлизаться да ўладаў?," Тутбай - Крапива не ваш герой.
""В начале ВОВ работал в редакции газеты «Красноармейская правда», затем в ред… ", кляты бандеровец.  экстремізм тм.  по версіі 6ых номеров кремля," Крапива был белорусским Михалковым - по сути, обслугой власти и пропагандоном. То, что он писал на белорусск… ",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Кошка задержала отправление скоростного поезда на два с половиной часа.

 ", На Западе у кошки больше прав и свобод чем у человека в Беларуси. , Не следят в Англии за трендами , Лайк таким кошкам," Кіт, ты маму мав?",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"В докладе спецслужб Литвы о возможных угрозах в 2021 году — много о Беларуси.

Кратко рассказываем, чем озабочены л… "," Когда жена застала с любовницей, он заявил что виноват не он, а Лукашенко

🤣😂😂 "," ""«любовные ловушки» инцидент с попыткой спецслужб нашей страны склонить к сотрудничеству литовца, который до… "," Спецслужбы Литвы озабочены, что КГБ Беларуси вербует озабоченных литовцев с помощью секса?", Спецслужбы Литвы. Смешно уже от самого названия😁," Литва...спецслужбы...озабочены...
Уже даже само сочетание этих слов бред какой-то напоминает.", Фашистское государство в качестве соседа - по-любому угроза, Так лабусы давно пиндоские инструкции передают - передасты короч ((," BelNPP
Russian troops
KGB
Novichok 🩲",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Можно ли уберечь ребенка от рака и как во время заметить тревожные симптомы?

Поговорили об этом с детским онколого… "," Когда жена застала с любовницей, он заявил что виноват не он, а Лукашенко

🤣😂😂 "," ""«любовные ловушки» инцидент с попыткой спецслужб нашей страны склонить к сотрудничеству литовца, который до… "," Спецслужбы Литвы озабочены, что КГБ Беларуси вербует озабоченных литовцев с помощью секса?", Спецслужбы Литвы. Смешно уже от самого названия😁," Литва...спецслужбы...озабочены...
Уже даже само сочетание этих слов бред какой-то напоминает.", Фашистское государство в качестве соседа - по-любому угроза, Так лабусы давно пиндоские инструкции передают - передасты короч ((," BelNPP
Russian troops
KGB
Novichok 🩲",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Что такое «синдром отличника» и почему таким людям очень тяжело жить?

 ", нам хорошистам не понять,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Опубликовали итоги республиканского опроса по COVID-19, который проводили в ноябре–декабре 2020 года.

Большинство… "," Хто-хто? НАН Беларусі? Сацыялагічнае даследванне?
Іншых казак у вас няма там?",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Лукашенко повысил в звании госсекретаря Совета безопасности.

 ", Ура товарищи!!! , почему вся эта чинушня и силушня так похожа на мертвечину? вопрос риторический, Тяперича - генерал-фельдмаршал. Почти как Паулюс.," Когда генеральские погоны закончатся у сипатого, начнёт награждать жёлтыми штанами стабильнасти..."," Вешает медальки своим собачкам, а те и радуются. Паноптикум, блять "," Навіны, апошнім часам, амаль усе пра якіх-та невядомых салдат. Пра якіясь медалі, чыны, пагоны.
Хто усе гэты… "," Надо было медаль дать , а то как-то несерьёзно.", как то он побледнел. от гордости наверное...," На столбе будет висеть, уёбок👎", На хуй идут," Rank of Secretary
Does he make the coffee?", , маршал?,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"В Налоговый кодекс ввели изменения, которые касаются зарплат «в конвертах».

Если обнаружат такие выплаты, то с раб… ", .. они должны стучать?,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Какие реликвии потерял мир в новом тысячелетии?

 ", И все они потеряны за время оккупации США.,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Какие фильмы должны выйти в этом году? 

Вот пять самых ожидаемых.

 ", И все они потеряны за время оккупации США.,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Год с коронавирусом. Куда белорусы сейчас могут слетать за границу и что для этого нужно?

 ", И все они потеряны за время оккупации США.,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"В Viber появилась функция, которая должна защитить белорусов от звонков мошенников.

Наконец-то!… ", Очень хорошо. Советую пожилым родственникам эту опцию подключить в первую очередь!," ну,наверное,не только белорусов?"," посмеялся. т.е. паспортные і банковскіе  данные, продаренные лукашенкой путіну, не прічем.",NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
"Путин заявил о способности интернета разрушить общество изнутри.

 ", Ни..уясе аж 1917 года изнутри разрушает 🤣, За интернет и бабульки выйдут на улицу! Не рискуй путин," Ого, как в комментарии слетаются рагули. Просто как мухи на дерьмо! 😁"," Если он всеобщий и не отвечает цензуре определённого режима, безусловно, это угроза.", Вот же диктаторов интернет бесит..., Just like Das Kapital did in the past!, Ого. Эффективней чем дешевая алкашка в магазинах?," Разрушать интернет может только лапшу, которую всякие плешивые дегенераты пытаются вешать всему обществу на уши.", Рыхтуемся да блакіроўкі," Фигассе заява от президента! Это что же он за общество такое построил, воспитанное ""на великих победах дИдов… "," Yeah, by informing people how corrupted their government is.", Мудрые китайцы это сразу поняли и теперь это самая развитая страна в мире..., Открыл Америку...," Вы издеваетесь, нам своего говна мало что ли"," Maybe he is correct?
Twitter, YouTube and Facebook needs to BAN all Kremlin and Kremlin sponsored accounts."," Интернет разрушает не общество, а ложь в обществе. С приходом интернета, пердункам вроде путена, стало невоз… "," бункерная пыня с диалапа в чебурнете зависает, оттого совсем мозги отгнили, если когда там что-то вообще было"," Время людей помнящих СССР стремительно уходит, как песок сквозь пальцы.", ," Ну пусть при помощи интернета разрушит общество в: Германии, Франции, США, Японии и т.д. Что, не очень то по… ", Важное заявление Путина на счёт интернета , Поверьте...он больше всех интересуется интернетом. Это просто позиция для терпил  - мол я такой консервативн… , поэтому его надо отключить ....," слухи подтверждаются, путлер хочет  ввести железный занавес и китайский файрволл", Надо начинать с себя ИМХО," Тутбай, Вы НЕ согласны?????? Вы же этим занимаетесь ежедневно в РБ!", Больной на голову, Ещё один представитель кнопочных," Общество в кавычки.
Или замените на быдлостадо.", Путін Хуйло, путин - хуйло!," Правильно,каждому в квартиру по мутному зеркалу,пусть 'старший брат'смотрит на нас."," Смена транспорта с лошадей на автомобили - тоже самое, это просто часть прогресса", ,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
